"pointid","xcoord","ycoord"
561,1701626.9402,2275780.6746
562,1700976.2067,2275963.1743
563,1702413.3246,2277015.9499
564,1701878.232,2277108.8768
565,1702772.0244,2273442.4452
566,1702013.6467,2272000.9209
567,1702043.0975,2271834.3717
568,1701262.5683,2274125.5756
569,1702398.1886,2268728.2603
570,1702122.064,2269547.939
571,1702258.8718,2268461.0812
572,1701579.6244,2271502.6489
573,1702773.2224,2270659.7719
574,1705985.7043,2276817.1405
575,1706216.3259,2276525.0514
576,1707175.5161,2278908.2678
577,1706896.0095,2278898.3105
578,1704835.047,2280801.1498
579,1704180.7283,2281659.4992
580,1705030.6441,2280642.8901
581,1701513.4047,2279922.8962
582,1701627.4427,2282479.2514
583,1693011.8097,2278249.2402
584,1692704.3388,2278448.8012
585,1693254.0027,2277935.6762
586,1690420.74,2279339.7443
587,1690282.6639,2280001.248
588,1689549.8695,2278497.696
589,1689727.6288,2278453.0152
590,1690034.021,2278434.0941
591,1688788.2527,2278636.4152
592,1688826.3749,2278592.4012
593,1688589.9586,2279067.0964
594,1688513.9056,2279611.2391
595,1687968.0237,2279755.5824
596,1687942.9362,2279681.9145
597,1686608.4389,2279091.4228
598,1687846.2839,2279686.801
599,1689872.6616,2276553.2464
600,1689315.9175,2278000.5352
601,1690175.9892,2276185.0289
602,1692361.2115,2276103.2916
603,1691779.5343,2276210.943
604,1691504.4519,2276357.3518
605,1692033.8636,2277412.4428
606,1691487.3459,2278028.4781
607,1690896.0851,2275379.2214
608,1690615.917,2276017.2901
609,1688560.9129,2275590.3555
610,1688133.2233,2276780.3935
611,1687492.1166,2276688.8111
612,1686882.3416,2276724.7091
613,1687671.7035,2277666.7815
614,1687698.274,2277850.8699
615,1688974.8941,2275587.2851
616,1689771.9231,2275369.8766
617,1685061.7295,2277589.1402
618,1686420.76,2275561.331
619,1686248.8317,2275743.5863
620,1685072.7947,2274317.7516
621,1684896.2327,2274485.8943
622,1684729.8952,2275146.4269
623,1684362.6224,2275605.3753
624,1687791.3037,2272930.4819
625,1686780.6582,2274327.4922
626,1686602.389,2274351.0864
627,1686597.0119,2271283.0335
628,1694770.971,2274393.414
629,1694551.24,2273902.0051
630,1696057.725,2271403.139
631,1695514.1565,2271689.6051
632,1695939.0964,2271460.8685
633,1695162.9885,2271431.3387
634,1692984.6083,2272759.7763
635,1692671.2627,2272470.5182
636,1692037.7013,2272684.6955
637,1691820.8163,2272532.0186
638,1690737.6794,2272196.2116
639,1691090.5592,2272399.8574
640,1691478.4981,2272409.3589
641,1690255.8034,2272401.8905
642,1699245.8838,2273284.2091
643,1698638.8455,2273757.0928
644,1698610.8177,2273847.8798
645,1698626.8866,2273995.7169
646,1697918.8407,2272416.2182
